2023-08-22 20:01:24.640238 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:25.958004 - Street: 1, Velocity: 46.5, Num Cars: 100
2023-08-22 20:01:26.644823 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:27.962438 - Street: 1, Velocity: 50.1, Num Cars: 100
2023-08-22 20:01:28.648862 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:29.967774 - Street: 1, Velocity: 47.8, Num Cars: 100
2023-08-22 20:01:30.652928 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:31.971385 - Street: 1, Velocity: 48.3, Num Cars: 100
2023-08-22 20:01:32.657237 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:33.975666 - Street: 1, Velocity: 48.6, Num Cars: 100
2023-08-22 20:01:34.661536 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:35.979952 - Street: 1, Velocity: 45.5, Num Cars: 100
2023-08-22 20:01:36.665518 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:37.983717 - Street: 1, Velocity: 43.3, Num Cars: 100
2023-08-22 20:01:38.669856 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:39.988802 - Street: 1, Velocity: 43.0, Num Cars: 100
2023-08-22 20:01:40.674113 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:41.993518 - Street: 1, Velocity: 46.3, Num Cars: 100
2023-08-22 20:01:42.678517 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:43.998262 - Street: 1, Velocity: 47.0, Num Cars: 100
2023-08-22 20:01:44.682607 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:46.003118 - Street: 1, Velocity: 46.5, Num Cars: 100
2023-08-22 20:01:46.686646 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:48.006511 - Street: 1, Velocity: 44.9, Num Cars: 100
2023-08-22 20:01:48.691283 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:50.011035 - Street: 1, Velocity: 46.6, Num Cars: 100
2023-08-22 20:01:50.695715 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:52.015467 - Street: 1, Velocity: 44.7, Num Cars: 100
2023-08-22 20:01:52.700406 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:54.020013 - Street: 1, Velocity: 40.9, Num Cars: 100
2023-08-22 20:01:54.704261 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:56.024196 - Street: 1, Velocity: 45.3, Num Cars: 100
2023-08-22 20:01:56.709147 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:58.028281 - Street: 1, Velocity: 47.5, Num Cars: 100
2023-08-22 20:01:58.713268 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:00.032606 - Street: 1, Velocity: 47.2, Num Cars: 100
2023-08-22 20:02:00.717405 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:02.036963 - Street: 1, Velocity: 46.5, Num Cars: 100
2023-08-22 20:02:02.721582 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:04.041923 - Street: 1, Velocity: 45.4, Num Cars: 100
2023-08-22 20:02:04.725940 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:06.046249 - Street: 1, Velocity: 44.6, Num Cars: 100
2023-08-22 20:02:06.729582 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:08.051394 - Street: 1, Velocity: 44.6, Num Cars: 100
2023-08-22 20:02:08.733808 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:10.056013 - Street: 1, Velocity: 43.2, Num Cars: 100
2023-08-22 20:02:10.737914 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:12.061153 - Street: 1, Velocity: 42.4, Num Cars: 100
2023-08-22 20:02:12.742133 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:14.065691 - Street: 1, Velocity: 45.6, Num Cars: 100
2023-08-22 20:02:14.746131 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:16.070331 - Street: 1, Velocity: 43.7, Num Cars: 100
2023-08-22 20:02:16.750250 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:18.074895 - Street: 1, Velocity: 41.7, Num Cars: 100
2023-08-22 20:02:18.754254 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:20.077801 - Street: 1, Velocity: 40.8, Num Cars: 100
2023-08-22 20:02:20.758795 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:22.082314 - Street: 1, Velocity: 40.9, Num Cars: 100
2023-08-22 20:02:22.763216 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:24.089520 - Street: 1, Velocity: 39.9, Num Cars: 100
2023-08-22 20:02:24.767186 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:26.093773 - Street: 1, Velocity: 40.9, Num Cars: 100
2023-08-22 20:02:26.771459 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:28.097986 - Street: 1, Velocity: 41.5, Num Cars: 100
2023-08-22 20:02:28.775505 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:30.101877 - Street: 1, Velocity: 41.3, Num Cars: 100
2023-08-22 20:02:30.779501 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:32.105964 - Street: 1, Velocity: 43.0, Num Cars: 100
2023-08-22 20:02:32.781830 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:34.110237 - Street: 1, Velocity: 45.1, Num Cars: 100
2023-08-22 20:02:34.786072 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:36.115266 - Street: 1, Velocity: 45.0, Num Cars: 100
2023-08-22 20:02:36.790542 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:38.120318 - Street: 1, Velocity: 48.0, Num Cars: 100
2023-08-22 20:02:38.794828 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:40.125092 - Street: 1, Velocity: 48.9, Num Cars: 100
2023-08-22 20:02:40.798897 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:42.130047 - Street: 1, Velocity: 46.4, Num Cars: 100
2023-08-22 20:02:42.801906 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:44.135044 - Street: 1, Velocity: 48.5, Num Cars: 100
2023-08-22 20:02:44.806078 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:46.139330 - Street: 1, Velocity: 47.9, Num Cars: 100
2023-08-22 20:02:46.810083 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:48.141705 - Street: 1, Velocity: 48.2, Num Cars: 100
2023-08-22 20:02:48.814133 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:50.146541 - Street: 1, Velocity: 48.2, Num Cars: 100
2023-08-22 20:02:50.818171 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:52.151223 - Street: 1, Velocity: 48.7, Num Cars: 100
2023-08-22 20:02:52.822353 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:54.155728 - Street: 1, Velocity: 47.0, Num Cars: 100
2023-08-22 20:02:54.825543 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:56.159580 - Street: 1, Velocity: 49.6, Num Cars: 100
2023-08-22 20:02:56.830374 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:02:58.164339 - Street: 1, Velocity: 50.7, Num Cars: 100
2023-08-22 20:02:58.834119 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:00.168486 - Street: 1, Velocity: 47.5, Num Cars: 100
2023-08-22 20:03:00.837819 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:02.172843 - Street: 1, Velocity: 45.0, Num Cars: 100
2023-08-22 20:03:02.842128 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:04.177914 - Street: 1, Velocity: 43.4, Num Cars: 100
2023-08-22 20:03:04.846168 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:06.182430 - Street: 1, Velocity: 44.6, Num Cars: 100
2023-08-22 20:03:06.850476 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:08.187066 - Street: 1, Velocity: 46.0, Num Cars: 100
2023-08-22 20:03:08.854468 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:10.191802 - Street: 1, Velocity: 47.1, Num Cars: 100
2023-08-22 20:03:10.858287 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:03:12.196642 - Street: 1, Velocity: 45.0, Num Cars: 100
